City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
617,Engels,RU,51.5,46.1167,72.46,69,1,1.01,clear sky,2022-07-29 01:54:35
618,Loubomo,CG,-4.1997,12.6739,63.66,95,56,2.89,broken clouds,2022-07-29 01:54:35
619,Barillas,GT,15.8036,-91.3158,62.22,98,100,1.5,overcast clouds,2022-07-29 01:54:36
620,Erenhot,CN,43.6475,111.9767,86.43,21,98,16.4,overcast clouds,2022-07-29 01:54:36
621,Buzmeyin,TM,38.0507,58.2056,83.93,54,40,13.8,light rain,2022-07-29 01:54:36
622,Port Pirie,AU,-33.1833,138.0167,60.62,43,100,5.64,overcast clouds,2022-07-29 01:54:37
623,Ekibastuz,KZ,51.6667,75.3667,73.15,52,83,0.89,broken clouds,2022-07-29 01:54:37
624,Salinopolis,BR,-0.6136,-47.3561,78.53,84,16,10.2,few clouds,2022-07-29 01:54:37
625,Richards Bay,ZA,-28.783,32.0377,63.9,87,1,14.76,clear sky,2022-07-29 01:54:38
626,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,51.26,69,17,7.78,few clouds,2022-07-29 01:54:38
627,Egvekinot,RU,66.3167,-179.1667,45.34,81,93,3.78,overcast clouds,2022-07-29 01:54:39
628,Acarau,BR,-2.8856,-40.12,77.18,84,89,10.31,overcast clouds,2022-07-29 01:54:39
629,Touros,BR,-5.1989,-35.4608,75.76,84,69,11.41,broken clouds,2022-07-29 01:51:22
630,Leshukonskoye,RU,64.8989,45.7622,63.12,98,70,2.59,broken clouds,2022-07-29 01:54:39
631,Inhambane,MZ,-23.865,35.3833,60.67,82,11,5.79,few clouds,2022-07-29 01:55:40
632,Lewiston,US,44.1003,-70.2148,72.05,96,75,5.75,broken clouds,2022-07-29 01:54:43
633,Bosaso,SO,11.2842,49.1816,89.15,40,2,17.72,clear sky,2022-07-29 01:55:40
634,Sept-Iles,CA,50.2001,-66.3821,60.06,91,40,16.11,scattered clouds,2022-07-29 01:55:41
635,Homer,US,59.6425,-151.5483,66.07,63,0,8.05,clear sky,2022-07-29 01:52:36
636,Tutoia,BR,-2.7619,-42.2744,78.49,82,78,9.44,broken clouds,2022-07-29 01:55:41
637,Esterhazy,CA,50.65,-102.0843,70.65,68,13,2.51,few clouds,2022-07-29 01:55:41
638,Waverly,US,42.7392,-84.6208,68.16,70,46,7.81,scattered clouds,2022-07-29 01:55:42
639,Ghatsila,IN,22.6,86.4833,84.65,66,40,5.01,scattered clouds,2022-07-29 01:55:42
640,Chinhoyi,ZW,-17.3667,30.2,48.33,50,0,3.44,clear sky,2022-07-29 01:55:42
641,Vagur,FO,61.4732,-6.8119,52.03,85,97,16.08,overcast clouds,2022-07-29 01:55:43
642,Mbanza-Ngungu,CD,-5.25,14.8667,63.45,80,54,6.85,broken clouds,2022-07-29 01:55:43
643,Alghero,IT,40.5589,8.3181,68.09,88,0,1.14,clear sky,2022-07-29 01:55:43
644,Oum Hadjer,TD,13.2954,19.6966,77.74,75,100,10.13,overcast clouds,2022-07-29 01:55:44
645,Araouane,ML,18.9048,-3.5265,95.99,24,25,8.52,scattered clouds,2022-07-29 01:55:44
646,Davila,PH,18.4726,120.5763,87.78,73,33,4.41,scattered clouds,2022-07-29 01:55:44
647,Utevka,RU,52.9035,50.9495,61.5,78,84,6.53,broken clouds,2022-07-29 01:55:45
648,Gejiu,CN,23.306,103.1635,65.59,80,88,2.57,overcast clouds,2022-07-29 01:55:45
649,Antalaha,MG,-14.9003,50.2788,66.97,84,37,6.58,scattered clouds,2022-07-29 01:55:45
650,Jiangyou,CN,31.7667,104.7167,82.85,71,71,1.23,broken clouds,2022-07-29 01:55:46
651,Olafsvik,IS,64.8945,-23.7142,44.69,75,61,10.87,broken clouds,2022-07-29 01:55:46
652,Kirkwall,GB,58.9848,-2.9587,55.96,91,38,16.13,scattered clouds,2022-07-29 01:55:47
653,Noumea,NC,-22.2763,166.4572,76.98,99,50,13.89,scattered clouds,2022-07-29 01:55:47
654,Calama,CL,-22.4667,-68.9333,52.29,11,6,13.8,clear sky,2022-07-29 01:55:47
655,Brownwood,US,31.7093,-98.9912,96.12,38,99,12.62,overcast clouds,2022-07-29 01:53:08
656,Sorong,ID,-0.8833,131.25,81.19,81,38,5.88,scattered clouds,2022-07-29 01:55:48
657,Acapulco,MX,16.8634,-99.8901,79.5,82,68,2.15,broken clouds,2022-07-29 01:55:48
658,Ko Samui,TH,9.5357,99.9357,85.91,79,20,0.0,few clouds,2022-07-29 01:55:48
659,Kastamonu,TR,41.5,33.6667,55.22,90,0,1.97,clear sky,2022-07-29 01:55:49
660,Bontang,ID,0.1333,117.5,81.34,79,91,4.12,overcast clouds,2022-07-29 01:55:49
661,Puerto El Triunfo,SV,13.2833,-88.55,79.0,82,93,2.86,overcast clouds,2022-07-29 01:55:49
662,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,48.69,80,100,13.91,overcast clouds,2022-07-29 01:55:50
663,Sinazongwe,ZM,-17.2614,27.4618,60.57,57,0,3.94,clear sky,2022-07-29 01:55:50
664,Tawang,IN,27.5833,91.8667,62.69,78,26,3.44,scattered clouds,2022-07-29 01:55:50
665,Jelenia Gora,PL,50.8997,15.729,63.45,71,54,4.81,broken clouds,2022-07-29 01:55:51
666,Narsaq,GL,60.9167,-46.05,44.37,71,54,1.16,broken clouds,2022-07-29 01:55:51
667,Sikonge,TZ,-5.6333,32.7667,64.8,60,60,5.91,broken clouds,2022-07-29 01:55:51
668,Pangody,RU,65.85,74.4859,67.35,57,48,5.26,scattered clouds,2022-07-29 01:55:52
